activity_id,week,location_id,co_share_group
A008,24,PLAT:BET:S17:EB,p2
A008,24,PLAT:BET:S18:EB,p1
A008,24,SEC:BET:S17_S18:EB,p1
A008,25,PLAT:BET:S17:EB,p1
A008,25,PLAT:BET:S18:EB,p2
A008,25,SEC:BET:S17_S18:EB,p3
A009,2,PLAT:ALP:S05:EB,p1
A009,2,PLAT:ALP:S06:EB,p1
A009,2,SEC:ALP:S05_S06:EB,p1
A009,5,PLAT:ALP:S05:EB,p1
A009,5,PLAT:ALP:S06:EB,p1
A009,5,SEC:ALP:S05_S06:EB,p1
A009,8,PLAT:ALP:S05:EB,p1
A009,8,PLAT:ALP:S06:EB,p1
A009,8,SEC:ALP:S05_S06:EB,p1
A009,9,PLAT:ALP:S05:EB,p1
A009,9,PLAT:ALP:S06:EB,p1
A009,9,SEC:ALP:S05_S06:EB,p1
A009,15,PLAT:ALP:S05:EB,p1
A009,15,PLAT:ALP:S06:EB,p1
A009,15,SEC:ALP:S05_S06:EB,p1
A009,16,PLAT:ALP:S05:EB,p1
A009,16,PLAT:ALP:S06:EB,p1
A009,16,SEC:ALP:S05_S06:EB,p1
A009,26,PLAT:ALP:S05:EB,p1
A009,26,PLAT:ALP:S06:EB,p1
A009,26,SEC:ALP:S05_S06:EB,p1
A011,25,PLAT:BET:S15:EB,p1
A011,25,PLAT:BET:S16:EB,p2
A011,25,PLAT:BET:S17:EB,p1
A011,25,SEC:BET:S15_S16:EB,p3
A011,25,SEC:BET:S16_S17:EB,p2
A011,26,PLAT:BET:S15:EB,p1
A011,26,PLAT:BET:S16:EB,p1
A011,26,PLAT:BET:S17:EB,p2
A011,26,SEC:BET:S15_S16:EB,p3
A011,26,SEC:BET:S16_S17:EB,p1
A012,8,PLAT:BET:H01:WB,p1
A012,8,PLAT:BET:H02:WB,p1
A012,8,PLAT:BET:S15:WB,p1
A012,8,SEC:BET:H01_H02:WB,p1
A012,8,SEC:BET:H02_S15:WB,p1
A012,9,PLAT:BET:H01:WB,p1
A012,9,PLAT:BET:H02:WB,p1
A012,9,PLAT:BET:S15:WB,p1
A012,9,SEC:BET:H01_H02:WB,p1
A012,9,SEC:BET:H02_S15:WB,p1
A012,11,PLAT:BET:H01:WB,p1
A012,11,PLAT:BET:H02:WB,p1
A012,11,PLAT:BET:S15:WB,p1
A012,11,SEC:BET:H01_H02:WB,p1
A012,11,SEC:BET:H02_S15:WB,p1
A012,12,PLAT:BET:H01:WB,p1
A012,12,PLAT:BET:H02:WB,p1
A012,12,PLAT:BET:S15:WB,p1
A012,12,SEC:BET:H01_H02:WB,p1
A012,12,SEC:BET:H02_S15:WB,p1
A012,13,PLAT:BET:H01:WB,p1
A012,13,PLAT:BET:H02:WB,p1
A012,13,PLAT:BET:S15:WB,p1
A012,13,SEC:BET:H01_H02:WB,p1
A012,13,SEC:BET:H02_S15:WB,p1
A012,14,PLAT:BET:H01:WB,p1
A012,14,PLAT:BET:H02:WB,p1
A012,14,PLAT:BET:S15:WB,p1
A012,14,SEC:BET:H01_H02:WB,p1
A012,14,SEC:BET:H02_S15:WB,p2
A012,16,PLAT:BET:H01:WB,p1
A012,16,PLAT:BET:H02:WB,p1
A012,16,PLAT:BET:S15:WB,p1
A012,16,SEC:BET:H01_H02:WB,p1
A012,16,SEC:BET:H02_S15:WB,p1
A013,22,PLAT:ALP:S05:WB,p2
A013,22,PLAT:ALP:S06:WB,p1
A013,22,SEC:ALP:S05_S06:WB,p2
A013,23,PLAT:ALP:S05:WB,p1
A013,23,PLAT:ALP:S06:WB,p1
A013,23,SEC:ALP:S05_S06:WB,p2
A013,24,PLAT:ALP:S05:WB,p1
A013,24,PLAT:ALP:S06:WB,p1
A013,24,SEC:ALP:S05_S06:WB,p1
A013,25,PLAT:ALP:S05:WB,p1
A013,25,PLAT:ALP:S06:WB,p1
A013,25,SEC:ALP:S05_S06:WB,p1
A013,26,PLAT:ALP:S05:WB,p1
A013,26,PLAT:ALP:S06:WB,p1
A013,26,SEC:ALP:S05_S06:WB,p1
A014,18,PLAT:ALP:S07:EB,p1
A014,18,PLAT:ALP:S08:EB,p1
A014,18,SEC:ALP:S07_S08:EB,p1
A014,19,PLAT:ALP:S07:EB,p1
A014,19,PLAT:ALP:S08:EB,p1
A014,19,SEC:ALP:S07_S08:EB,p1
A014,20,PLAT:ALP:S07:EB,p1
A014,20,PLAT:ALP:S08:EB,p1
A014,20,SEC:ALP:S07_S08:EB,p1
A014,21,PLAT:ALP:S07:EB,p1
A014,21,PLAT:ALP:S08:EB,p1
A014,21,SEC:ALP:S07_S08:EB,p1
A014,22,PLAT:ALP:S07:EB,p1
A014,22,PLAT:ALP:S08:EB,p1
A014,22,SEC:ALP:S07_S08:EB,p1
A014,23,PLAT:ALP:S07:EB,p1
A014,23,PLAT:ALP:S08:EB,p1
A014,23,SEC:ALP:S07_S08:EB,p1
A014,24,PLAT:ALP:S07:EB,p1
A014,24,PLAT:ALP:S08:EB,p1
A014,24,SEC:ALP:S07_S08:EB,p1
A017,18,PLAT:BET:H01:EB,p1
A017,18,PLAT:BET:H02:EB,p1
A017,18,PLAT:BET:S15:EB,p1
A017,18,PLAT:BET:S16:EB,p2
A017,18,SEC:BET:H01_H02:EB,p1
A017,18,SEC:BET:H02_S15:EB,p2
A017,18,SEC:BET:S15_S16:EB,p2
A017,21,PLAT:BET:H01:EB,p1
A017,21,PLAT:BET:H02:EB,p1
A017,21,PLAT:BET:S15:EB,p1
A017,21,PLAT:BET:S16:EB,p2
A017,21,SEC:BET:H01_H02:EB,p1
A017,21,SEC:BET:H02_S15:EB,p1
A017,21,SEC:BET:S15_S16:EB,p1
A017,22,PLAT:BET:H01:EB,p1
A017,22,PLAT:BET:H02:EB,p1
A017,22,PLAT:BET:S15:EB,p2
A017,22,PLAT:BET:S16:EB,p1
A017,22,SEC:BET:H01_H02:EB,p1
A017,22,SEC:BET:H02_S15:EB,p2
A017,22,SEC:BET:S15_S16:EB,p2
A017,23,PLAT:BET:H01:EB,p1
A017,23,PLAT:BET:H02:EB,p1
A017,23,PLAT:BET:S15:EB,p1
A017,23,PLAT:BET:S16:EB,p2
A017,23,SEC:BET:H01_H02:EB,p1
A017,23,SEC:BET:H02_S15:EB,p2
A017,23,SEC:BET:S15_S16:EB,p3
A017,24,PLAT:BET:H01:EB,p1
A017,24,PLAT:BET:H02:EB,p1
A017,24,PLAT:BET:S15:EB,p1
A017,24,PLAT:BET:S16:EB,p2
A017,24,SEC:BET:H01_H02:EB,p1
A017,24,SEC:BET:H02_S15:EB,p1
A017,24,SEC:BET:S15_S16:EB,p1
A017,25,PLAT:BET:H01:EB,p1
A017,25,PLAT:BET:H02:EB,p1
A017,25,PLAT:BET:S15:EB,p2
A017,25,PLAT:BET:S16:EB,p2
A017,25,SEC:BET:H01_H02:EB,p1
A017,25,SEC:BET:H02_S15:EB,p2
A017,25,SEC:BET:S15_S16:EB,p2
A017,26,PLAT:BET:H01:EB,p1
A017,26,PLAT:BET:H02:EB,p1
A017,26,PLAT:BET:S15:EB,p1
A017,26,PLAT:BET:S16:EB,p1
A017,26,SEC:BET:H01_H02:EB,p1
A017,26,SEC:BET:H02_S15:EB,p1
A017,26,SEC:BET:S15_S16:EB,p4
A019,16,PLAT:BET:S16:EB,p1
A019,16,PLAT:BET:S17:EB,p2
A019,16,SEC:BET:S16_S17:EB,p3
A019,26,PLAT:BET:S16:EB,p2
A019,26,PLAT:BET:S17:EB,p2
A019,26,SEC:BET:S16_S17:EB,p1
A020,16,PLAT:ALP:H01:WB,p1
A020,16,PLAT:ALP:H02:WB,p1
A020,16,PLAT:ALP:S04:WB,p1
A020,16,PLAT:ALP:S05:WB,p1
A020,16,SEC:ALP:H01_H02:WB,p1
A020,16,SEC:ALP:H02_S05:WB,p1
A020,16,SEC:ALP:S04_H01:WB,p1
A020,26,PLAT:ALP:H01:WB,p1
A020,26,PLAT:ALP:H02:WB,p1
A020,26,PLAT:ALP:S04:WB,p1
A020,26,PLAT:ALP:S05:WB,p1
A020,26,SEC:ALP:H01_H02:WB,p1
A020,26,SEC:ALP:H02_S05:WB,p2
A020,26,SEC:ALP:S04_H01:WB,p1
A021,21,PLAT:BET:S11:WB,p1
A021,21,PLAT:BET:S12:WB,p2
A021,21,PLAT:BET:S13:WB,p2
A021,21,SEC:BET:S11_S12:WB,p1
A021,21,SEC:BET:S12_S13:WB,p2
A021,24,PLAT:BET:S11:WB,p1
A021,24,PLAT:BET:S12:WB,p1
A021,24,PLAT:BET:S13:WB,p2
A021,24,SEC:BET:S11_S12:WB,p2
A021,24,SEC:BET:S12_S13:WB,p1
A021,27,PLAT:BET:S11:WB,p1
A021,27,PLAT:BET:S12:WB,p1
A021,27,PLAT:BET:S13:WB,p1
A021,27,SEC:BET:S11_S12:WB,p1
A021,27,SEC:BET:S12_S13:WB,p1
A023,21,PLAT:ALP:S03:WB,p1
A023,21,PLAT:ALP:S04:WB,p1
A023,21,SEC:ALP:S03_S04:WB,p2
A023,22,PLAT:ALP:S03:WB,p1
A023,22,PLAT:ALP:S04:WB,p1
A023,22,SEC:ALP:S03_S04:WB,p1
A023,23,PLAT:ALP:S03:WB,p1
A023,23,PLAT:ALP:S04:WB,p1
A023,23,SEC:ALP:S03_S04:WB,p1
A023,24,PLAT:ALP:S03:WB,p1
A023,24,PLAT:ALP:S04:WB,p1
A023,24,SEC:ALP:S03_S04:WB,p1
A023,25,PLAT:ALP:S03:WB,p1
A023,25,PLAT:ALP:S04:WB,p1
A023,25,SEC:ALP:S03_S04:WB,p1
A023,26,PLAT:ALP:S03:WB,p1
A023,26,PLAT:ALP:S04:WB,p1
A023,26,SEC:ALP:S03_S04:WB,p1
A023,27,PLAT:ALP:S03:WB,p1
A023,27,PLAT:ALP:S04:WB,p2
A023,27,SEC:ALP:S03_S04:WB,p3
A025,16,PLAT:ALP:S01:EB,p1
A025,16,PLAT:ALP:S02:EB,p1
A025,16,PLAT:ALP:S03:EB,p1
A025,16,SEC:ALP:S01_S02:EB,p1
A025,16,SEC:ALP:S02_S03:EB,p1
A025,17,PLAT:ALP:S01:EB,p1
A025,17,PLAT:ALP:S02:EB,p1
A025,17,PLAT:ALP:S03:EB,p1
A025,17,SEC:ALP:S01_S02:EB,p1
A025,17,SEC:ALP:S02_S03:EB,p1
A025,18,PLAT:ALP:S01:EB,p1
A025,18,PLAT:ALP:S02:EB,p1
A025,18,PLAT:ALP:S03:EB,p1
A025,18,SEC:ALP:S01_S02:EB,p1
A025,18,SEC:ALP:S02_S03:EB,p1
A025,19,PLAT:ALP:S01:EB,p1
A025,19,PLAT:ALP:S02:EB,p1
A025,19,PLAT:ALP:S03:EB,p1
A025,19,SEC:ALP:S01_S02:EB,p1
A025,19,SEC:ALP:S02_S03:EB,p1
A025,20,PLAT:ALP:S01:EB,p1
A025,20,PLAT:ALP:S02:EB,p1
A025,20,PLAT:ALP:S03:EB,p2
A025,20,SEC:ALP:S01_S02:EB,p1
A025,20,SEC:ALP:S02_S03:EB,p1
A025,21,PLAT:ALP:S01:EB,p1
A025,21,PLAT:ALP:S02:EB,p2
A025,21,PLAT:ALP:S03:EB,p2
A025,21,SEC:ALP:S01_S02:EB,p1
A025,21,SEC:ALP:S02_S03:EB,p2
A025,27,PLAT:ALP:S01:EB,p1
A025,27,PLAT:ALP:S02:EB,p1
A025,27,PLAT:ALP:S03:EB,p1
A025,27,SEC:ALP:S01_S02:EB,p1
A025,27,SEC:ALP:S02_S03:EB,p1
A028,10,PLAT:ALP:H01:EB,p1
A028,10,PLAT:ALP:S03:EB,p1
A028,10,PLAT:ALP:S04:EB,p1
A028,10,SEC:ALP:S03_S04:EB,p1
A028,10,SEC:ALP:S04_H01:EB,p1
A028,11,PLAT:ALP:H01:EB,p1
A028,11,PLAT:ALP:S03:EB,p1
A028,11,PLAT:ALP:S04:EB,p1
A028,11,SEC:ALP:S03_S04:EB,p1
A028,11,SEC:ALP:S04_H01:EB,p1
A031,10,PLAT:ALP:S06:WB,p1
A031,10,PLAT:ALP:S07:WB,p1
A031,10,PLAT:ALP:S08:WB,p1
A031,10,SEC:ALP:S06_S07:WB,p1
A031,10,SEC:ALP:S07_S08:WB,p1
A031,11,PLAT:ALP:S06:WB,p1
A031,11,PLAT:ALP:S07:WB,p2
A031,11,PLAT:ALP:S08:WB,p1
A031,11,SEC:ALP:S06_S07:WB,p1
A031,11,SEC:ALP:S07_S08:WB,p1
A035,13,PLAT:ALP:S02:WB,p2
A035,13,PLAT:ALP:S03:WB,p1
A035,13,PLAT:ALP:S04:WB,p1
A035,13,SEC:ALP:S02_S03:WB,p2
A035,13,SEC:ALP:S03_S04:WB,p3
A035,14,PLAT:ALP:S02:WB,p1
A035,14,PLAT:ALP:S03:WB,p1
A035,14,PLAT:ALP:S04:WB,p1
A035,14,SEC:ALP:S02_S03:WB,p1
A035,14,SEC:ALP:S03_S04:WB,p3
A035,15,PLAT:ALP:S02:WB,p1
A035,15,PLAT:ALP:S03:WB,p1
A035,15,PLAT:ALP:S04:WB,p1
A035,15,SEC:ALP:S02_S03:WB,p2
A035,15,SEC:ALP:S03_S04:WB,p3
A036,22,PLAT:BET:H01:EB,p1
A036,22,PLAT:BET:S14:EB,p1
A036,22,SEC:BET:S14_H01:EB,p1
A036,23,PLAT:BET:H01:EB,p1
A036,23,PLAT:BET:S14:EB,p1
A036,23,SEC:BET:S14_H01:EB,p1
A036,24,PLAT:BET:H01:EB,p1
A036,24,PLAT:BET:S14:EB,p1
A036,24,SEC:BET:S14_H01:EB,p1
A036,25,PLAT:BET:H01:EB,p1
A036,25,PLAT:BET:S14:EB,p1
A036,25,SEC:BET:S14_H01:EB,p1
A036,26,PLAT:BET:H01:EB,p1
A036,26,PLAT:BET:S14:EB,p1
A036,26,SEC:BET:S14_H01:EB,p1
A036,27,PLAT:BET:H01:EB,p1
A036,27,PLAT:BET:S14:EB,p1
A036,27,SEC:BET:S14_H01:EB,p1
A036,28,PLAT:BET:H01:EB,p1
A036,28,PLAT:BET:S14:EB,p1
A036,28,SEC:BET:S14_H01:EB,p1
A037,12,PLAT:BET:S15:EB,p1
A037,12,PLAT:BET:S16:EB,p2
A037,12,PLAT:BET:S17:EB,p1
A037,12,SEC:BET:S15_S16:EB,p1
A037,12,SEC:BET:S16_S17:EB,p1
A037,16,PLAT:BET:S15:EB,p2
A037,16,PLAT:BET:S16:EB,p2
A037,16,PLAT:BET:S17:EB,p1
A037,16,SEC:BET:S15_S16:EB,p3
A037,16,SEC:BET:S16_S17:EB,p4
A038,22,PLAT:BET:S17:EB,p1
A038,22,PLAT:BET:S18:EB,p1
A038,22,SEC:BET:S17_S18:EB,p1
A038,23,PLAT:BET:S17:EB,p1
A038,23,PLAT:BET:S18:EB,p1
A038,23,SEC:BET:S17_S18:EB,p2
A038,24,PLAT:BET:S17:EB,p1
A038,24,PLAT:BET:S18:EB,p2
A038,24,SEC:BET:S17_S18:EB,p2
A039,15,PLAT:BET:S11:WB,p1
A039,15,PLAT:BET:S12:WB,p1
A039,15,PLAT:BET:S13:WB,p1
A039,15,PLAT:BET:S14:WB,p1
A039,15,SEC:BET:S11_S12:WB,p1
A039,15,SEC:BET:S12_S13:WB,p1
A039,15,SEC:BET:S13_S14:WB,p1
A039,19,PLAT:BET:S11:WB,p2
A039,19,PLAT:BET:S12:WB,p1
A039,19,PLAT:BET:S13:WB,p1
A039,19,PLAT:BET:S14:WB,p2
A039,19,SEC:BET:S11_S12:WB,p1
A039,19,SEC:BET:S12_S13:WB,p2
A039,19,SEC:BET:S13_S14:WB,p1
A039,21,PLAT:BET:S11:WB,p1
A039,21,PLAT:BET:S12:WB,p1
A039,21,PLAT:BET:S13:WB,p1
A039,21,PLAT:BET:S14:WB,p1
A039,21,SEC:BET:S11_S12:WB,p2
A039,21,SEC:BET:S12_S13:WB,p1
A039,21,SEC:BET:S13_S14:WB,p1
A039,22,PLAT:BET:S11:WB,p1
A039,22,PLAT:BET:S12:WB,p1
A039,22,PLAT:BET:S13:WB,p1
A039,22,PLAT:BET:S14:WB,p1
A039,22,SEC:BET:S11_S12:WB,p2
A039,22,SEC:BET:S12_S13:WB,p1
A039,22,SEC:BET:S13_S14:WB,p1
A039,23,PLAT:BET:S11:WB,p1
A039,23,PLAT:BET:S12:WB,p1
A039,23,PLAT:BET:S13:WB,p1
A039,23,PLAT:BET:S14:WB,p1
A039,23,SEC:BET:S11_S12:WB,p1
A039,23,SEC:BET:S12_S13:WB,p1
A039,23,SEC:BET:S13_S14:WB,p1
A039,24,PLAT:BET:S11:WB,p2
A039,24,PLAT:BET:S12:WB,p2
A039,24,PLAT:BET:S13:WB,p1
A039,24,PLAT:BET:S14:WB,p2
A039,24,SEC:BET:S11_S12:WB,p1
A039,24,SEC:BET:S12_S13:WB,p2
A039,24,SEC:BET:S13_S14:WB,p1
A039,25,PLAT:BET:S11:WB,p1
A039,25,PLAT:BET:S12:WB,p1
A039,25,PLAT:BET:S13:WB,p1
A039,25,PLAT:BET:S14:WB,p1
A039,25,SEC:BET:S11_S12:WB,p1
A039,25,SEC:BET:S12_S13:WB,p1
A039,25,SEC:BET:S13_S14:WB,p1
A040,13,PLAT:BET:H01:EB,p1
A040,13,PLAT:BET:H02:EB,p1
A040,13,PLAT:BET:S15:EB,p1
A040,13,PLAT:BET:S16:EB,p1
A040,13,SEC:BET:H01_H02:EB,p1
A040,13,SEC:BET:H02_S15:EB,p1
A040,13,SEC:BET:S15_S16:EB,p1
A040,14,PLAT:BET:H01:EB,p1
A040,14,PLAT:BET:H02:EB,p1
A040,14,PLAT:BET:S15:EB,p2
A040,14,PLAT:BET:S16:EB,p2
A040,14,SEC:BET:H01_H02:EB,p1
A040,14,SEC:BET:H02_S15:EB,p1
A040,14,SEC:BET:S15_S16:EB,p1
A040,15,PLAT:BET:H01:EB,p1
A040,15,PLAT:BET:H02:EB,p1
A040,15,PLAT:BET:S15:EB,p2
A040,15,PLAT:BET:S16:EB,p2
A040,15,SEC:BET:H01_H02:EB,p1
A040,15,SEC:BET:H02_S15:EB,p1
A040,15,SEC:BET:S15_S16:EB,p1
A040,16,PLAT:BET:H01:EB,p1
A040,16,PLAT:BET:H02:EB,p1
A040,16,PLAT:BET:S15:EB,p2
A040,16,PLAT:BET:S16:EB,p2
A040,16,SEC:BET:H01_H02:EB,p1
A040,16,SEC:BET:H02_S15:EB,p1
A040,16,SEC:BET:S15_S16:EB,p4
A040,17,PLAT:BET:H01:EB,p1
A040,17,PLAT:BET:H02:EB,p1
A040,17,PLAT:BET:S15:EB,p2
A040,17,PLAT:BET:S16:EB,p1
A040,17,SEC:BET:H01_H02:EB,p1
A040,17,SEC:BET:H02_S15:EB,p2
A040,17,SEC:BET:S15_S16:EB,p1
A040,19,PLAT:BET:H01:EB,p1
A040,19,PLAT:BET:H02:EB,p1
A040,19,PLAT:BET:S15:EB,p1
A040,19,PLAT:BET:S16:EB,p1
A040,19,SEC:BET:H01_H02:EB,p1
A040,19,SEC:BET:H02_S15:EB,p2
A040,19,SEC:BET:S15_S16:EB,p1
A040,23,PLAT:BET:H01:EB,p1
A040,23,PLAT:BET:H02:EB,p1
A040,23,PLAT:BET:S15:EB,p1
A040,23,PLAT:BET:S16:EB,p2
A040,23,SEC:BET:H01_H02:EB,p1
A040,23,SEC:BET:H02_S15:EB,p2
A040,23,SEC:BET:S15_S16:EB,p2
A041,11,PLAT:BET:S15:EB,p1
A041,11,PLAT:BET:S16:EB,p2
A041,11,SEC:BET:S15_S16:EB,p1
A041,26,PLAT:BET:S15:EB,p1
A041,26,PLAT:BET:S16:EB,p1
A041,26,SEC:BET:S15_S16:EB,p1
A042,25,PLAT:BET:S15:EB,p2
A042,25,PLAT:BET:S16:EB,p2
A042,25,PLAT:BET:S17:EB,p2
A042,25,PLAT:BET:S18:EB,p1
A042,25,SEC:BET:S15_S16:EB,p1
A042,25,SEC:BET:S16_S17:EB,p1
A042,25,SEC:BET:S17_S18:EB,p1
A042,26,PLAT:BET:S15:EB,p2
A042,26,PLAT:BET:S16:EB,p1
A042,26,PLAT:BET:S17:EB,p1
A042,26,PLAT:BET:S18:EB,p1
A042,26,SEC:BET:S15_S16:EB,p2
A042,26,SEC:BET:S16_S17:EB,p1
A042,26,SEC:BET:S17_S18:EB,p2
A042,27,PLAT:BET:S15:EB,p1
A042,27,PLAT:BET:S16:EB,p1
A042,27,PLAT:BET:S17:EB,p1
A042,27,PLAT:BET:S18:EB,p1
A042,27,SEC:BET:S15_S16:EB,p1
A042,27,SEC:BET:S16_S17:EB,p1
A042,27,SEC:BET:S17_S18:EB,p1
A043,16,PLAT:BET:H02:EB,p1
A043,16,PLAT:BET:S15:EB,p1
A043,16,PLAT:BET:S16:EB,p1
A043,16,PLAT:BET:S17:EB,p1
A043,16,SEC:BET:H02_S15:EB,p2
A043,16,SEC:BET:S15_S16:EB,p1
A043,16,SEC:BET:S16_S17:EB,p1
A043,21,PLAT:BET:H02:EB,p1
A043,21,PLAT:BET:S15:EB,p2
A043,21,PLAT:BET:S16:EB,p2
A043,21,PLAT:BET:S17:EB,p2
A043,21,SEC:BET:H02_S15:EB,p2
A043,21,SEC:BET:S15_S16:EB,p1
A043,21,SEC:BET:S16_S17:EB,p3
A046,11,PLAT:ALP:S05:WB,p1
A046,11,PLAT:ALP:S06:WB,p2
A046,11,SEC:ALP:S05_S06:WB,p2
A046,17,PLAT:ALP:S05:WB,p1
A046,17,PLAT:ALP:S06:WB,p1
A046,17,SEC:ALP:S05_S06:WB,p1
A046,22,PLAT:ALP:S05:WB,p1
A046,22,PLAT:ALP:S06:WB,p1
A046,22,SEC:ALP:S05_S06:WB,p1
A046,23,PLAT:ALP:S05:WB,p1
A046,23,PLAT:ALP:S06:WB,p2
A046,23,SEC:ALP:S05_S06:WB,p1
A046,26,PLAT:ALP:S05:WB,p1
A046,26,PLAT:ALP:S06:WB,p2
A046,26,SEC:ALP:S05_S06:WB,p1
A047,13,PLAT:ALP:H02:EB,p1
A047,13,PLAT:ALP:S05:EB,p1
A047,13,PLAT:ALP:S06:EB,p1
A047,13,SEC:ALP:H02_S05:EB,p1
A047,13,SEC:ALP:S05_S06:EB,p1
A047,26,PLAT:ALP:H02:EB,p1
A047,26,PLAT:ALP:S05:EB,p1
A047,26,PLAT:ALP:S06:EB,p2
A047,26,SEC:ALP:H02_S05:EB,p2
A047,26,SEC:ALP:S05_S06:EB,p2
A048,1,PLAT:BET:S13:EB,p1
A048,1,PLAT:BET:S14:EB,p1
A048,1,SEC:BET:S13_S14:EB,p1
A048,2,PLAT:BET:S13:EB,p1
A048,2,PLAT:BET:S14:EB,p1
A048,2,SEC:BET:S13_S14:EB,p1
A048,10,PLAT:BET:S13:EB,p1
